Economy Name,Economy Code,Status BIPM,RMO,ISO Membership,IEC Membership,GQII Scores,GQII Rank,CMC Coverage,CIPM - Cons. Committees,Key Comparisons,Supplementary Comparisons,Count Calibration,ISO - TC Observing,ISO - TC Participating,IEC Observing Member,IEC Participating Member,ISO MS Certificates,CAB Coverage*,Count Product Certification,Count Management System Certification,Count Testing
Senegal,SEN,,,Member body,Affiliate,0.3855,118,0%,,,,1,22,5,,,147,6%,0,0,5
Serbia,SRB,Member State,EURAMET,Member body,Full Member,0.8219,39,100%,0%,43,18,62,411,60,131,16,"6,244",76%,21,16,323
Seychelles,SYC,Associate of the CGPM,AFRIMETS,Correspondent member,Affiliate,0.3951,114,0%,,0,3,0,20,,,,17,0%,0,0,0
Sierra Leone,SLE,,,Correspondent member,Affiliate,0.2058,168,0%,,,,,6,1,,,2,,,,
Singapore,SGP,Member State,APMP,Member body,Full Member,0.8428,30,78%,65%,149,50,103,98,79,56,20,"5,943",82%,18,27,224
Slovak Republic,SVK,Member State,EURAMET,Member body,Full Member,0.8596,26,89%,60%,156,43,91,433,54,93,6,"7,024",82%,31,36,220
Slovenia,SVN,Member State,EURAMET,Member body,Full Member,0.7621,47,78%,5%,53,34,30,72,42,70,23,"2,658",71%,16,3,91
Solomon Islands,SLB,,,,,0.1302,183,0%,,,,,,,,,1,,,,
Somalia,SOM,,,,,0.2152,166,0%,,,,,,,,,10,0%,,,1
South Africa,ZAF,Member State,AFRIMETS,Member body,Full Member,0.9084,20,100%,90%,228,70,107,186,238,63,73,"5,163",88%,14,67,467
South Sudan,SSD,,,,Affiliate,0.1612,178,0%,,,,,,,,,,,,,
Spain,ESP,Member State,EURAMET,Member body,Full Member,0.9483,9,100%,85%,182,74,164,229,433,64,123,"48,470",94%,156,38,917
Sri Lanka,LKA,Associate of the CGPM,APMP,Member body,Associate Member,0.6404,60,0%,,8,2,9,127,81,1,3,"2,277",76%,4,3,76
Sudan,SDN,Associate of the CGPM,AFRIMETS,Member body,Affiliate,0.3809,120,0%,,0,1,1,26,2,,,129,0%,,,6
Suriname,SUR,Associate of the CGPM,CARICOM,,Affiliate,0.2997,145,0%,,,,,,,,,176,0%,,,1
Sweden,SWE,Member State,EURAMET,Member body,Full Member,0.8964,21,100%,40%,124,56,70,111,468,55,135,"6,883",88%,24,20,276
Switzerland,CHE,Member State,EURAMET,Member body,Full Member,0.9239,12,100%,90%,207,85,94,157,414,30,143,"11,826",88%,34,25,389
Syrian Arab Republic,SYR,Associate of the CGPM,APMP,Member body,Affiliate,0.2915,149,0%,,12,3,,22,2,,,123,,,,
Taiwan (Province of China),TWN,Associate of the CGPM,APMP,,,0.6315,62,100%,,108,50,243,,,,,"15,005",88%,81,27,"1,611"
Tajikistan,TJK,,,Correspondent member,,0.2242,161,0%,,,,,9,,,,8,0%,,,
Tanzania,TZA,Associate of the CGPM,AFRIMETS,Member body,Affiliate,0.5125,87,0%,,0,1,1,139,32,,,158,18%,1,0,21
Thailand,THA,Member State,APMP,Member body,Full Member,0.8313,33,89%,10%,154,71,225,222,90,55,30,"14,996",65%,8,16,901
Timor-Leste,TLS,,,,,0.1190,184,0%,,,,,,,,,,,,,
Togo,TGO,,,Correspondent member,Affiliate,0.3287,135,0%,,,,0,3,4,,,42,6%,0,0,1
Tonga,TON,,,,,0.1326,181,0%,,,,,,,,,2,,,,
Trinidad and Tobago,TTO,Associate of the CGPM,CARICOM,Member body,Affiliate,0.4122,110,11%,,,,0,63,12,,,105,12%,0,0,3
Tunisia,TUN,Member State,AFRIMETS,Member body,Associate Member,0.6302,63,22%,0%,11,5,27,150,20,0,4,"1,694",59%,2,6,63
Turkey,TUR,Member State,EURAMET,Member body,Full Member,0.9192,16,100%,75%,204,84,149,255,130,69,38,"14,248",88%,108,90,942
Uganda,UGA,,,Member body,Associate Member,0.3988,112,0%,,,,2,22,75,0,1,216,0%,,1,5
Ukraine,UKR,Member State,COOMET,Member body,Full Member,0.8105,42,100%,30%,61,83,38,234,136,151,12,"2,388",82%,128,69,880
